2016 2017 2018 2019 2020
0.955 1.006 1.062 1.117 1.173
1.439 1.513 1.587 1.661 1.738
0.766 0.797 0.830 0.865 0.904
94.297 112.519 130.146 149.697 172.828
4.137 4.442 4.802 5.061 5.257
3.430 3.494 3.548 3.610 3.685
517.440 532.356 546.394 564.711 581.572
662.483 684.386 702.235 722.322 744.784

519.149 535.543 549.112 567.754 590.364
6.612 6.848 7.226 7.784 8.443
46.695 50.475 55.053 59.902 65.065
390.592 403.640 417.385 436.467 457.212
2.501 2.672 2.873 2.962 3.096
4.520 4.896 5.260 5.636 6.054
0.430 0.446 0.466 0.488 0.509
22.809 23.645 25.448 27.093 28.648
42.388 41.667 42.053 44.228 46.766
735.716 769.474 811.927 860.991 912.534
36.573 39.576 42.153 44.973 48.081
0.032 0.034 0.035 0.036 0.038
25.613 27.643 29.723 32.060 35.206
87.198 95.297 104.897 114.525 125.257
375.022 407.571 434.812 463.416 496.920
2649.893 2609.912 2709.190 2814.257 2927.636
18561.934 19377.203 20250.829 21104.770 21926.509
54.374 58.145 61.535 65.275 69.002
66.797 67.139 70.848 74.868 79.380
0.773 0.829 0.886 0.944 1.000
333.715 314.103 210.164 198.041 192.750
200.493 215.919 234.189 254.324 275.762
31.326 37.307 41.797 45.333 49.041
20.574 20.916 22.207 24.112 26.200
14.193 14.556 15.025 15.525 16.072

